result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file,sort_key,sort_value
db79_161_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,島津義久|高台院|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),島津義久|高台院|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,12124,9759,69,0,112,1026,250,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||島津義久|高台院|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血)||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:野心家の絆|3-4-5:才気煥発|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,23340,23340,step163_normal7整理,total_score,23340
db79_133_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|武田晴信|竹中重門|高台院|島津義久|真田昌幸(吸血),豊臣秀吉|武田晴信|竹中重門|高台院|島津義久|真田昌幸(吸血),野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,12335,9498,53,0,118,1007,249,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|武田晴信|竹中重門|高台院|島津義久|真田昌幸(吸血)||1-2-3:野心家の絆|1-2-3:才気煥発|3-4-5:明敏の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,23260,23260,step163_normal7整理,total_score,23260
db79_224_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,島津義久|林崎甚助|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),島津義久|林崎甚助|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,12219,9409,83,0,112,1011,250,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||島津義久|林崎甚助|松永久秀(野望)|武田晴信|徳川家康(東軍)|真田昌幸(吸血)||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:野心家の絆|3-4-5:才気煥発|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,23084,23084,step163_normal7整理,total_score,23084
db79_205_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|武田晴信|竹中重門|林崎甚助|島津義久|真田昌幸(吸血),豊臣秀吉|武田晴信|竹中重門|林崎甚助|島津義久|真田昌幸(吸血),野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,12430,9148,67,0,118,992,249,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|武田晴信|竹中重門|林崎甚助|島津義久|真田昌幸(吸血)||1-2-3:野心家の絆|1-2-3:才気煥発|3-4-5:明敏の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,23004,23004,step163_normal7整理,total_score,23004
db79_12_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,高台院|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸,高台院|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|長寿の絆|王佐之才,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|長寿の絆|王佐之才,11215,10109,64,316,0,542,294,35,44,39,34,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||高台院|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:長寿の絆|5-6-1:王佐之才,,step103_rules_dedup_rebuild,22692,22692,step163_normal7整理,total_score,22692
db79_11_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,高台院|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸,高台院|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|長寿の絆|王佐之才,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|長寿の絆|王佐之才,11173,10120,81,316,0,520,294,35,44,39,34,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||高台院|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:長寿の絆|5-6-1:王佐之才,,step103_rules_dedup_rebuild,22656,22656,step163_normal7整理,total_score,22656
db79_209_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,竹中重門|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,竹中重門|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,11864,9352,53,0,112,991,256,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||竹中重門|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:世渡り上手の絆|3-4-5:謀略家|3-4-5:柔能制剛|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,22628,22628,step163_normal7整理,total_score,22628
db79_15_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,林崎甚助|三好長慶(生殺)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海),林崎甚助|三好長慶(生殺)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海),明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,11889,9620,148,316,0,510,118,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||林崎甚助|三好長慶(生殺)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海)||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:侍|5-6-1:長寿の絆,,step103_rules_dedup_rebuild,22601,22601,step163_normal7整理,total_score,22601
db79_14_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,林崎甚助|今川義元(周年)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海),林崎甚助|今川義元(周年)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海),明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,11845,9630,163,316,0,487,119,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||林崎甚助|今川義元(周年)|明石全登|妙玖|鬼庭左月斎|真田信幸(航海)||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:侍|5-6-1:長寿の絆,,step103_rules_dedup_rebuild,22560,22560,step163_normal7整理,total_score,22560
db79_1173_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|細川藤孝(立役)|島津義久|真田昌幸(吸血),豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|細川藤孝(立役)|島津義久|真田昌幸(吸血),侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,13352,7140,146,33,264,576,216,167,170,169,166,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|細川藤孝(立役)|島津義久|真田昌幸(吸血)||1-2-3:侍|1-2-3:野心家の絆|1-2-3:才腕の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,22399,22399,step163_normal7整理,total_score,22399
db79_1029_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|真田信幸(航海)|島津義久|真田昌幸(吸血),豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|真田信幸(航海)|島津義久|真田昌幸(吸血),侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,13362,7111,154,33,264,567,216,167,170,169,166,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|真田信幸(航海)|島津義久|真田昌幸(吸血)||1-2-3:侍|1-2-3:野心家の絆|1-2-3:才腕の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,22379,22379,step163_normal7整理,total_score,22379
db79_1217_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|林崎甚助|島津義久|真田昌幸(吸血),豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|林崎甚助|島津義久|真田昌幸(吸血),侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,侍|野心家の絆|才腕の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,13342,7110,167,33,264,570,216,167,170,169,166,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|伊達政宗(起源)|斎藤道三(巳)|林崎甚助|島津義久|真田昌幸(吸血)||1-2-3:侍|1-2-3:野心家の絆|1-2-3:才腕の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,22374,22374,step163_normal7整理,total_score,22374
